index,Spielzeit,Datum,Stück,Autor,Regie,Musik,Bühnenbild,Kostüme,Choreographie,Ortsvermerk,Aufführungsvermerk,SpeziellerAnlass,id,Tag,Nr_Spielzeit,DuplicateDate,Nr_Stück,Neujahr
0,1938_1939,09/03/1938,Frau Warrens Gewerbe,"Shaw, George Bernard","Heinz, Wolfgang",0,"Furrer, Robert",0,0,Grosse Bühne,0,0,1938_193909/03/1938Frau Warrens Gewerbe,1938-09-03,1,False,0,False
1,1938_1939,09/08/1938,Schuld und Sühne,"Dostojewskij, Fjodor Michajlowitsch","Steckel, Leonard",0,"Otto, Teo",0,0,Grosse Bühne,0,0,1938_193909/08/1938Schuld und Sühne,1938-09-08,1,False,1,False
2,1938_1939,09/17/1938,Die Schule der Frauen,"Molière, Jean Baptiste","Wälterlin, Oskar",0,"Otto, Teo",0,0,Grosse Bühne,0,0,1938_193909/17/1938Die Schule der Frauen,1938-09-17,1,False,2,False
3,1938_1939,09/22/1938,Dyckerpotts Erben,"Grötzsch, Robert","Valentin, Hermann",0,"Otto, Teo",0,0,Grosse Bühne,0,0,1938_193909/22/1938Dyckerpotts Erben,1938-09-22,1,False,3,False
4,1938_1939,09/29/1938,Der kleine Sündenfall,"Arx, Cäsar von","Steckel, Leonard","Weilenmann, Bill","Otto, Teo",0,0,Grosse Bühne,Uraufführung,0,1938_193909/29/1938Der kleine Sündenfall,1938-09-29,1,False,4,False
5,1938_1939,10/06/1938,Erinnerst Du Dich,"Saville, Edith; Carlton, John","Heinz, Wolfgang",0,"Otto, Teo",0,0,Grosse Bühne,0,0,1938_193910/06/1938Erinnerst Du Dich,1938-10-06,1,False,5,False
6,1938_1939,10/13/1938,König Oedipus,Sophokles,"Wälterlin, Oskar",0,"Otto, Teo",0,0,Grosse Bühne,0,0,1938_193910/13/1938König Oedipus,1938-10-13,1,False,6,False
7,1938_1939,10/22/1938,Götz von Berlichingen,"Goethe, Johann Wolfgang von","Lindtberg, Leopold",0,"Otto, Teo",0,0,Grosse Bühne,0,0,1938_193910/22/1938Götz von Berlichingen,1938-10-22,1,False,7,False
8,1938_1939,10/27/1938,Die Venus vom Tivoli,"Haggenmacher, Peter","Schweizer, Richard",0,"Otto, Teo",0,0,Grosse Bühne,0,0,1938_193910/27/1938Die Venus vom Tivoli,1938-10-27,1,False,8,False
9,1938_1939,11/03/1938,Sechste Etage,"Gehri, Alfred","Steckel, Leonard",0,"Furrer, Robert",0,0,Grosse Bühne,0,0,1938_193911/03/1938Sechste Etage,1938-11-03,1,False,9,False
10,1938_1939,11/17/1938,Bellman,"Zuckmayer, Carl","Lindtberg, Leopold","Bellman, Carl Michael","Otto, Teo",0,0,Grosse Bühne,Uraufführung,0,1938_193911/17/1938Bellman,1938-11-17,1,False,10,False
11,1938_1939,11/24/1938,Duo,"Géraldy, Paul","Delius, Fritz",0,"Furrer, Robert",0,0,Grosse Bühne,0,0,1938_193911/24/1938Duo,1938-11-24,1,False,11,False
12,1938_1939,12/03/1938,Jedermann 1938,"Lesch, Walter","Lindtberg, Leopold",0,"Otto, Teo",0,0,Grosse Bühne,Uraufführung,0,1938_193912/03/1938Jedermann 1938,1938-12-03,1,False,12,False
13,1938_1939,12/15/1938,Hanneles Himmelfahrt,"Hauptmann, Gerhart","Steckel, Leonard","Weilenmann, Bill","Otto, Teo",0,0,Grosse Bühne,0,0,1938_193912/15/1938Hanneles Himmelfahrt,1938-12-15,1,False,13,False
14,1938_1939,12/22/1938,Talleyrand und Napoleon,"Kesser, Hermann","Wälterlin, Oskar",0,"Otto, Teo",0,0,Grosse Bühne,Uraufführung,0,1938_193912/22/1938Talleyrand und Napoleon,1938-12-22,1,False,14,False
15,1938_1939,12/31/1938,Das Ministerium ist beleidigt,"Heller, Fred; Engler, Bruno","Steckel, Leonard","Märker, Leonhard","Furrer, Robert",0,0,Grosse Bühne,0,0,1938_193912/31/1938Das Ministerium ist beleidigt,1938-12-31,1,False,15,True
16,1938_1939,01/07/1939,Die Wildente,"Ibsen, Henrik","Heinz, Wolfgang",0,"Furrer, Robert",0,0,Grosse Bühne,0,0,1938_193901/07/1939Die Wildente,1939-01-07,1,False,16,False
17,1938_1939,01/14/1939,Fräulein Dr. med. Lawrence,"Hare, Patricia S.","Lindtberg, Leopold",0,"Otto, Teo",0,0,Grosse Bühne,0,0,1938_193901/14/1939Fräulein Dr. med. Lawrence,1939-01-14,1,False,17,False
18,1938_1939,01/26/1939,Wilhelm Tell,"Schiller, Friedrich von","Wälterlin, Oskar",0,"Furrer, Robert",0,0,Grosse Bühne,0,0,1938_193901/26/1939Wilhelm Tell,1939-01-26,1,False,18,False
19,1938_1939,02/09/1939,Bomber für Japan,"Guggenheim, Werner Johannes","Lindtberg, Leopold",0,"Otto, Teo",0,0,Grosse Bühne,0,0,1938_193902/09/1939Bomber für Japan,1939-02-09,1,False,19,False
20,1938_1939,02/16/1939,Ja und Nein,"Horne, Kenneth","Steckel, Leonard",0,"Otto, Teo",0,0,Grosse Bühne,0,0,1938_193902/16/1939Ja und Nein,1939-02-16,1,False,20,False
21,1938_1939,02/25/1939,Die Macht der Finsternis,"Tolstoi, Leo","Lindtberg, Leopold",0,"Otto, Teo",0,0,Grosse Bühne,0,0,1938_193902/25/1939Die Macht der Finsternis,1939-02-25,1,False,21,False
22,1938_1939,03/09/1939,Eine kleine Stadt,"Wilder, Thornton","Wälterlin, Oskar",0,"Otto, Teo",0,0,Grosse Bühne,Deutschsprachige Erstaufführung,0,1938_193903/09/1939Eine kleine Stadt,1939-03-09,1,False,22,False
23,1938_1939,03/17/1939,Nathan der Weise,"Lessing, Gotthold Ephraim","Wälterlin, Oskar",0,"Dünner, Willi",0,0,Grosse Bühne,0,0,1938_193903/17/1939Nathan der Weise,1939-03-17,1,False,23,False
24,1938_1939,03/23/1939,Sir Basils letztes Geschäft,"Gertsch, Max","Wälterlin, Oskar",0,"Otto, Teo",0,0,Grosse Bühne,0,0,1938_193903/23/1939Sir Basils letztes Geschäft,1939-03-23,1,False,24,False
25,1938_1939,04/01/1939,Der schwarze Hecht,"Amstein, Jürg","Wälterlin, Oskar","Burkhard, Paul","Otto, Teo",0,0,Grosse Bühne,Uraufführung,0,1938_193904/01/1939Der schwarze Hecht,1939-04-01,1,False,25,False
26,1938_1939,04/14/1939,Die Jungfrau von Orléans,"Schiller, Friedrich von","Steckel, Leonard",0,"Otto, Teo",0,0,Grosse Bühne,0,0,1938_193904/14/1939Die Jungfrau von Orléans,1939-04-14,1,False,26,False
27,1938_1939,04/27/1939,Tartuffe,"Molière, Jean Baptiste","Lindtberg, Leopold",0,"Otto, Teo",0,0,Grosse Bühne,0,0,1938_193904/27/1939Tartuffe,1939-04-27,1,False,27,False
